DATE,TEMPERATURE,WIND SPEED,HUMIDITY
2/23 06:00,22,6.214,50
2/23 12:00,29,0.06,25
2/23 18:00,27,6.214,40
2/23 23:59,22,6.214,50
2/24 06:00,29,0.621,38
2/24 12:00,30,8.078,23
2/24 18:00,23,5.593,43
2/24 23:59,29,3.728,76
2/25 06:00,31,1.864,66
2/25 12:00,26,9.321,43
2/25 18:00,26,7.457,77
2/25 23:59,22,2.786,86
2/26 06:00,30,3.107,73
2/26 12:00,31,9.943,45
2/26 18:00,27,7.457,70
2/26 23:59,21,3.107,81
2/27 06:00,30,6.836,68
2/27 12:00,31,12.428,27
2/27 18:00,28,9.321,46
2/27  23:59,23,8.0078,73
2/28  06:00,27,4.971,73
2/28 12:00,29,11.807,59
2/28 18:00,25,11.185,78
2/28 23:59,23,6.214,84
2/29 06:00,28,1.864,72
2/29 12:00,30,6.214,44
2/29 18:00,26,7.437,67
3/01  01:10,23,3.107,70
3/01  06:00,28,14.914,48
3/01  12:00,31,11.807,24
3/01  18:00,30,6.214,33
3/01  23:59,23,3.728,51
3/02  06:00,29,6.836,42
3/02  12:00,31,6.836,28
3/02 18:00,27,6.836,39
3/02  23:59,23,7.457,66
3/03  06:00,29,7.457,60
3/03  12:00,31,9.321,26
3/03  18:00,25,9.943,58
3/03  23:59,23,8.7,71
3/04  06:00,28,9.943,58
3/04  12:00,28,12.428,48
3/04  18:00,25,12.428,67
3/04  23:59,23,9.943,73
3/05  06:00,26,9.321,54
3/05  12:00,28,13.05,29
3/05  18:00,24,12.428,37
3/05  23:59,23,12.428,22
3/06 06:00,25,11.807,21
3/06  12:00,27,13.05,18
3/06  18:00,24,7.457,35
3/06 23:59,20,1.864,55
3/07  06:00,28,2.486,48
3/07 12:00,29,10.564,20
3/07 18:00,26,6.836,33
3/07  23:59,18,2.486,47
3/08  06:00,27,2.486,48
3/08  12:00,29,11.185,19
3/08  18:00,27,8.078,44
3/08  23:00,21,5.593,54
3/09  06:00,29,11.807,33
3/09  12:00,31,9.943,16
3/09 18:00,28,6.836,35